feature,importance
sulphur_dioxide_mass_mixing_ratio__roll3_max,0.23281889979993609
cum_humidity_x_so2,0.2319043889224026
sea_salt_aerosol_003_05_mixing_ratio__roll6_max,0.22641716746347165
dust_aerosol_003_055_mixing_ratio,0.22461112866554686
carbon_monoxide_mass_mixing_ratio,0.21900217828553317
sulphur_dioxide_mass_mixing_ratio__roll3_mean,0.21604205263623177
sulphate_aerosol_mixing_ratio__roll3_max,0.215546862979633
hydrophilic_black_carbon_aerosol_mixing_ratio__roll24_max,0.20807535844788225
sea_salt_aerosol_05_5_mixing_ratio__roll12_mean,0.20725793727175984
nitrogen_dioxide_mass_mixing_ratio__roll12_mean,0.20195114663000405
specific_humidity__roll6_max,0.20184109611952147
sea_salt_aerosol_003_05_mixing_ratio__roll3_max,0.20116956185703905
temperature,0.19744370452998491
sulphur_dioxide_mass_mixing_ratio__roll6_max,0.19575688451788498
sulphate_aerosol_mixing_ratio__roll3_mean,0.18760006569992638
month_sin,0.17094688440427394
sea_salt_aerosol_05_5_mixing_ratio__roll12_max,0.16391016086803384
metar_temperature_c__roll3_mean,0.1425966247726697
hno3__roll12_max,0.14135560020682975
hno3__roll3_mean,0.1411290653624994
metar_temperature_c__roll3_max,0.13732845082076542
hno3__roll6_mean,0.13250948092156065
hno3__roll12_mean,0.13117031267110998
hno3__roll6_max,0.1266642460572765
sea_salt_aerosol_003_05_mixing_ratio__roll6_mean,0.12568504352615498
metar_temperature_c__roll6_mean,0.12356422697491487
metar_relative_humidity__roll3_mean,0.12298435133746026
sea_salt_aerosol_05_5_mixing_ratio__roll6_max,0.10581616540559913
humidity_x_salt,0.09840146104911109
sulphur_dioxide_mass_mixing_ratio__roll6_mean,0.08623725948175956
metar_temperature_c__roll24_mean,0.06847968819726821
specific_humidity,0.054279359194098965
hydrophilic_black_carbon_aerosol_mixing_ratio__roll6_mean,0.05046588462001798
month_cos,0.027247002469277443
