fold,brier,auc,n_val
1,0.2029590075912058,0.7901701323251418,230
2,0.19782058601098682,0.7936288088642659,228
3,0.1821055546806368,0.8197522314558325,228
4,0.18953007006910322,0.8181363496460449,228
5,0.21712402681967521,0.7691982148353339,228
